# Job Metrics
Job ID,Waiting Time,Completion Time,I/O Processes,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,5,22,12,0.065,0.065,0.523
2,27,8,12,0.07,0.07,0.563
3,35,4,12,0.066,0.066,0.531
4,39,8,12,0.062,0.062,0.492
5,47,8,12,0.07,0.07,0.563
6,55,2,12,0.066,0.066,0.531
7,57,1,12,0.062,0.062,0.492
8,58,4,12,0.062,0.062,0.492
9,62,2,12,0.066,0.066,0.531
10,64,2,12,0.07,0.07,0.563
11,66,1,12,0.065,0.065,0.523
12,67,3,12,0.07,0.07,0.563
13,70,2,12,0.066,0.066,0.531
14,72,1,10,0.062,0.062,0.492
15,73,1,11,0.066,0.066,0.531
16,74,1,5,0.062,0.062,0.492
17,75,2,12,0.07,0.07,0.563
18,77,1,12,0.066,0.066,0.531
19,78,1,10,0.07,0.07,0.563
20,80,1,12,0.066,0.066,0.531
21,81,1,13,0.062,0.062,0.492
22,82,1,12,0.07,0.07,0.563
23,83,2,11,0.065,0.065,0.523
24,85,1,12,0.066,0.066,0.531
25,86,1,7,0.065,0.065,0.523
26,87,2,8,0.062,0.062,0.492
27,89,1,12,0.065,0.065,0.523
28,90,1,12,0.07,0.07,0.563
29,91,1,12,0.066,0.066,0.531
30,92,1,11,0.062,0.062,0.492

