# Job Metrics
Job ID,Waiting Time,Completion Time,I/O Processes,Job RAM % Used,Job Cache % Used
1,3,193,12,0.065,0.523
2,196,44,12,0.07,0.563
3,240,23,12,0.066,0.531
4,263,98,12,0.062,0.492
5,361,34,12,0.07,0.563
6,395,2,12,0.066,0.531
7,397,2,12,0.062,0.492
8,399,7,12,0.062,0.492
9,406,2,12,0.066,0.531
10,408,7,12,0.07,0.563
11,415,1,12,0.065,0.523
12,416,2,12,0.07,0.563
13,418,1,12,0.066,0.531
14,419,1,10,0.062,0.492
15,420,2,11,0.066,0.531
16,422,1,5,0.062,0.492
17,423,2,12,0.07,0.563
18,425,1,12,0.066,0.531
19,426,3,10,0.07,0.563
20,429,2,12,0.066,0.531
21,432,1,13,0.062,0.492
22,433,2,12,0.07,0.563
23,435,1,11,0.065,0.523
24,436,2,12,0.066,0.531
25,438,1,7,0.065,0.523
26,439,0,8,0.062,0.492
27,439,1,12,0.065,0.523
28,440,1,12,0.07,0.563
29,441,1,12,0.066,0.531
30,442,2,11,0.062,0.492

