# Job Metrics
Job ID,Waiting Time,Completion Time,I/O Processes,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,6,1,12,0.065,0.065,0.523
2,18,1,12,0.07,0.07,0.563
3,24,12,12,0.066,0.066,0.531
4,19,1,12,0.062,0.062,0.492
5,11,2,12,0.07,0.07,0.563
6,37,1,12,0.066,0.066,0.531
7,20,1,12,0.062,0.062,0.492
8,49,1,12,0.062,0.062,0.492
9,7,1,12,0.066,0.066,0.531
10,44,1,12,0.07,0.07,0.563
11,9,2,12,0.065,0.065,0.523
12,42,2,12,0.07,0.07,0.563
13,47,2,12,0.066,0.066,0.531
14,5,1,10,0.062,0.062,0.492
15,22,2,11,0.066,0.066,0.531
16,38,1,5,0.062,0.062,0.492
17,17,1,12,0.07,0.07,0.563
18,47,0,12,0.066,0.066,0.531
19,4,1,10,0.07,0.07,0.563
20,8,1,12,0.066,0.066,0.531
21,15,1,13,0.062,0.062,0.492
22,45,1,12,0.07,0.07,0.563
23,21,1,11,0.065,0.065,0.523
24,36,1,12,0.066,0.066,0.531
25,40,1,7,0.065,0.065,0.523
26,16,1,8,0.062,0.062,0.492
27,41,1,12,0.065,0.065,0.523
28,13,2,12,0.07,0.07,0.563
29,1,3,12,0.066,0.066,0.531
30,39,1,11,0.062,0.062,0.492

