# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,I/O Processes,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,3,1,72,12,0.264,0.065,0.523
2,3,171,16,12,0.272,0.07,0.563
3,2,186,34,12,0.269,0.066,0.531
4,1,173,11,12,0.272,0.062,0.492
5,0,74,77,12,0.269,0.07,0.563
6,0,216,21,12,0.266,0.066,0.531
7,2,175,11,12,0.264,0.062,0.492
8,1,244,4,12,0.265,0.062,0.492
9,2,23,76,12,0.269,0.066,0.531
10,1,232,12,12,0.272,0.07,0.563
11,3,73,76,12,0.265,0.065,0.523
12,2,231,13,12,0.268,0.07,0.563
13,2,244,10,12,0.273,0.066,0.531
14,2,1,21,10,0.198,0.062,0.492
15,1,184,34,11,0.264,0.066,0.531
16,1,218,4,5,0.261,0.062,0.492
17,0,151,31,12,0.264,0.07,0.563
18,3,241,6,12,0.277,0.066,0.531
19,1,1,28,10,0.137,0.07,0.563
20,1,29,108,12,0.265,0.066,0.531
21,1,137,36,13,0.268,0.062,0.492
22,0,237,9,12,0.276,0.07,0.563
23,0,182,34,11,0.259,0.065,0.523
24,3,187,38,12,0.265,0.066,0.531
25,1,222,10,7,0.26,0.065,0.523
26,3,149,22,8,0.264,0.062,0.492
27,3,226,15,12,0.259,0.065,0.523
28,2,99,76,12,0.272,0.07,0.563
29,0,1,72,12,0.066,0.066,0.531
30,2,220,11,11,0.256,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,246,71,6,0.2
1,248,94,9,0.3
2,254,93,8,0.267
3,247,80,7,0.233
