# Job Metrics
Job ID,Waiting Time,Completion Time,I/O Processes,Job RAM % Used,Job Cache % Used
1,74,7,12,0.065,0.523
2,152,39,12,0.07,0.563
3,198,2,12,0.066,0.531
4,191,1,12,0.062,0.492
5,103,16,12,0.07,0.563
6,201,1,12,0.066,0.531
7,192,1,12,0.062,0.492
8,213,1,12,0.062,0.492
9,81,7,12,0.066,0.531
10,208,2,12,0.07,0.563
11,93,10,12,0.065,0.523
12,207,1,12,0.07,0.563
13,212,1,12,0.066,0.531
14,74,0,10,0.062,0.492
15,197,1,11,0.066,0.531
16,202,1,5,0.062,0.492
17,148,4,12,0.07,0.563
18,211,1,12,0.066,0.531
19,73,1,10,0.07,0.563
20,88,5,12,0.066,0.531
21,129,17,13,0.062,0.492
22,210,1,12,0.07,0.563
23,193,4,11,0.065,0.523
24,200,1,12,0.066,0.531
25,205,1,7,0.065,0.523
26,146,2,8,0.062,0.492
27,206,1,12,0.065,0.523
28,119,10,12,0.07,0.563
29,1,71,12,0.066,0.531
30,203,2,11,0.062,0.492

